@relation CPMP-2015-runtime-regression

@attribute stacks numeric
@attribute tiers numeric
@attribute stack.tier.ratio numeric
@attribute container.density numeric
@attribute empty.stack.pct numeric
@attribute overstowing.stack.pct numeric
@attribute overstowing.2cont.stack.pct numeric
@attribute group.same.min numeric
@attribute group.same.max numeric
@attribute group.same.mean numeric
@attribute group.same.stdev numeric
@attribute top.good.min numeric
@attribute top.good.max numeric
@attribute top.good.mean numeric
@attribute top.good.stdev numeric
@attribute overstowage.pct numeric
@attribute bflb numeric
@attribute left.density numeric
@attribute tier.weighted.groups numeric
@attribute avg.l1.top.left.lg.group numeric
@attribute cont.empty.grt.estack numeric
@attribute pct.bottom.pct.on.top numeric
@attribute runtime numeric

@data
16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0,0.028
16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0,0.804
16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0,0.004
16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0,3600
16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0,3600
16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0,0.572
16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0,3600
16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0,128.756
16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0,3600
16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0,19.085
16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0,0.764
16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0,3600
16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0,3600
16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0,3600
16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0,106.755
16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0,3588.976
