@relation airfoil_self_noise

@attribute ï»?800 numeric
@attribute 0 numeric
@attribute 0.3048 numeric
@attribute 71.3 numeric
@attribute 0.00266337 numeric
@attribute 126.201 numeric

@data
1000,0,0.3048,71.3,0.002663,125.201
1250,0,0.3048,71.3,0.002663,125.951
1600,0,0.3048,71.3,0.002663,127.591
2000,0,0.3048,71.3,0.002663,127.461
2500,0,0.3048,71.3,0.002663,125.571
3150,0,0.3048,71.3,0.002663,125.201
4000,0,0.3048,71.3,0.002663,123.061
5000,0,0.3048,71.3,0.002663,121.301
6300,0,0.3048,71.3,0.002663,119.541
8000,0,0.3048,71.3,0.002663,117.151
10000,0,0.3048,71.3,0.002663,115.391
12500,0,0.3048,71.3,0.002663,112.241
16000,0,0.3048,71.3,0.002663,108.721
500,0,0.3048,55.5,0.002831,126.416
630,0,0.3048,55.5,0.002831,127.696
800,0,0.3048,55.5,0.002831,128.086
1000,0,0.3048,55.5,0.002831,126.966
1250,0,0.3048,55.5,0.002831,126.086
1600,0,0.3048,55.5,0.002831,126.986
2000,0,0.3048,55.5,0.002831,126.616
2500,0,0.3048,55.5,0.002831,124.106
3150,0,0.3048,55.5,0.002831,123.236
4000,0,0.3048,55.5,0.002831,121.106
5000,0,0.3048,55.5,0.002831,119.606
6300,0,0.3048,55.5,0.002831,117.976
8000,0,0.3048,55.5,0.002831,116.476
10000,0,0.3048,55.5,0.002831,113.076
12500,0,0.3048,55.5,0.002831,111.076
200,0,0.3048,39.6,0.003101,118.129
250,0,0.3048,39.6,0.003101,119.319
315,0,0.3048,39.6,0.003101,122.779
400,0,0.3048,39.6,0.003101,124.809
500,0,0.3048,39.6,0.003101,126.959
630,0,0.3048,39.6,0.003101,128.629
800,0,0.3048,39.6,0.003101,129.099
1000,0,0.3048,39.6,0.003101,127.899
1250,0,0.3048,39.6,0.003101,125.499
1600,0,0.3048,39.6,0.003101,124.049
2000,0,0.3048,39.6,0.003101,123.689
2500,0,0.3048,39.6,0.003101,121.399
3150,0,0.3048,39.6,0.003101,120.319
4000,0,0.3048,39.6,0.003101,119.229
5000,0,0.3048,39.6,0.003101,117.789
6300,0,0.3048,39.6,0.003101,116.229
8000,0,0.3048,39.6,0.003101,114.779
10000,0,0.3048,39.6,0.003101,112.139
12500,0,0.3048,39.6,0.003101,109.619
200,0,0.3048,31.7,0.003313,117.195
250,0,0.3048,31.7,0.003313,118.595
315,0,0.3048,31.7,0.003313,122.765
400,0,0.3048,31.7,0.003313,125.045
500,0,0.3048,31.7,0.003313,127.315
630,0,0.3048,31.7,0.003313,129.095
800,0,0.3048,31.7,0.003313,129.235
1000,0,0.3048,31.7,0.003313,127.365
1250,0,0.3048,31.7,0.003313,124.355
1600,0,0.3048,31.7,0.003313,122.365
2000,0,0.3048,31.7,0.003313,122.375
