RIDGE,NUB,CRACK,WEIGHT,DENSITY,OBSERVATION_NUMBER
-1.4239,-5.3797,-1.7169,-0.6685,-0.8269,1010.0
-3.7869,-4.6553,-4.8813,7.7137,-0.4417,2589.0
-13.9404,-6.8,9.0198,14.9708,5.6508,2313.0
7.1272,2.3685,-5.2895,-13.0496,2.6378,2581.0
9.8971,3.2934,8.7314,-11.5109,-2.9672,2761.0
7.9365,3.3285,0.315,-13.418,-1.2696,1663.0
4.9425,-0.4224,2.5339,-9.3116,-0.6337,2698.0
15.1155,3.952,-9.1267,-20.7649,-4.8684,1839.0
11.3096,-3.0406,-8.0486,-18.3073,-4.1566,1675.0
2.6513,5.1599,2.0975,-9.2208,2.6817,1516.0
-8.3686,-1.4073,10.3566,16.6205,1.2163,1261.0
-3.4247,-0.3508,7.3284,7.6946,-2.0151,2411.0
10.4404,-1.9885,6.7335,-14.1258,-4.5511,1975.0
8.997,-6.3637,-4.8069,-3.1396,-9.0035,3061.0
4.2181,-1.974,5.8265,-6.2908,-1.2873,65.0
-0.0421,2.9817,13.5631,2.5367,0.1625,1228.0
2.3776,5.745,7.2134,-1.2694,-0.204,1426.0
8.2896,4.1663,-7.1788,-4.3379,-3.0485,3246.0
-7.3249,5.2557,9.5179,1.4785,3.9838,2232.0
5.7523,-6.5091,-5.151,4.348,-10.3261,4.0
-13.1807,0.9836,-0.4025,11.6914,6.2086,3727.0
6.1801,5.9784,3.8143,-1.8869,-4.5745,3450.0
2.9562,4.3405,-19.9521,-13.2194,2.6528,278.0
-5.3396,5.2236,3.9945,8.5493,1.29,2052.0
-0.7004,9.2524,1.8699,5.0056,4.8607,918.0
9.7128,3.0078,-5.3666,-13.4097,-0.7273,1445.0
2.0107,-5.4075,0.5294,1.6403,-2.6939,2645.0
2.6317,1.7663,6.2047,-0.305,-3.9676,656.0
-0.874,5.3823,4.4089,5.1618,-1.9448,2340.0
-1.7306,2.9539,5.1477,2.6851,2.2062,1367.0
5.8384,-0.3661,-7.3694,-11.4394,0.5251,1961.0
3.1414,-5.8802,2.1228,-3.7789,-2.103,1818.0
-1.1018,4.5456,9.7856,-0.2545,-0.5541,525.0
2.6554,-2.2703,0.7428,-4.7336,-0.2245,3568.0
-0.7216,-4.4163,6.6335,11.8322,-4.452,3211.0
-4.214,-0.0747,14.536,11.4315,1.4689,491.0
-10.6081,3.9728,-6.1418,16.647,4.695,837.0
12.2773,9.7913,1.1842,-18.4592,0.0187,3148.0
0.6723,-2.239,11.9389,-1.2094,-3.2844,2293.0
-2.1836,5.2191,6.5861,4.3214,2.7312,722.0
-10.7734,-10.0196,15.7519,16.1017,-1.0834,1535.0
1.1826,-4.4216,-1.8958,-5.7236,1.0588,2837.0
-4.693,1.2029,2.2979,8.9935,0.2952,541.0
-0.646,-6.7217,-3.471,-4.0284,1.3673,2201.0
-5.2999,2.2853,4.2145,9.3007,1.307,2962.0
-3.2184,5.1452,1.2378,-0.1441,5.3186,3185.0
5.6098,-3.4646,2.9063,-4.9044,-5.1332,3062.0
-19.4687,-3.1471,-10.9226,22.5042,7.4786,109.0
6.3053,0.1304,-4.1328,-5.6401,-2.4094,624.0
3.9644,-5.819,5.6674,-2.8563,-3.8965,2050.0
-1.7532,2.5654,16.3784,0.4062,1.9377,2435.0
-0.4908,-7.0215,-10.1106,-6.9191,3.2944,1804.0
-6.7654,-5.7232,0.9802,16.0856,0.9185,2954.0
-3.5141,-6.866,-0.1194,7.7683,-2.0368,1256.0
-12.6153,-4.9833,4.8822,27.0626,0.122,2816.0
-0.5903,-5.9643,-6.0893,-4.1797,-0.1111,2143.0
-1.6624,9.044,-9.4559,-5.6456,7.6439,2161.0
0.0435,-3.6119,-2.1577,1.5889,0.04,3571.0
-3.1034,-7.618,-14.4435,1.4863,0.7256,2656.0
2.5076,-4.7992,-0.1711,-0.9316,-2.0415,1796.0
5.6976,-2.2157,5.3838,-2.2909,-5.5242,782.0
-1.2804,3.5075,-6.2452,-1.1665,3.1527,822.0
-2.3396,-8.6383,5.6253,9.8479,-2.5612,2742.0
-2.8919,-3.4642,-8.3164,-1.9144,2.0552,1117.0
3.6666,2.0623,7.2409,1.564,-3.0928,1683.0
4.5612,3.8086,-4.4171,-15.1716,2.6573,3772.0
-18.621,-6.3191,6.7075,20.8896,5.7588,2122.0
5.945,-3.5085,-1.1643,-0.3481,-5.3676,2439.0
-4.1682,-7.3075,2.0457,8.4633,0.7095,1281.0
-2.5527,3.3455,-4.5424,1.2355,3.9726,3650.0
6.4224,-0.3054,5.2241,-8.1669,-3.655,459.0
-6.7302,-3.0847,-17.5442,5.9479,1.9031,1628.0
-0.3302,0.1907,-0.2263,0.6885,0.326,99.0
-5.0327,5.7117,-12.3232,2.1696,4.7247,1352.0
-5.7791,-11.2814,-1.888,9.8046,-1.3495,2209.0
9.8312,-4.2474,4.5439,-16.1179,-2.4493,2503.0
-1.3151,0.5296,-3.5647,2.9974,-1.4242,848.0
5.0286,-0.3369,14.9737,-0.6774,-7.6659,682.0
0.9295,7.5805,0.1072,-11.8785,4.0392,875.0
-6.53,-5.7885,1.2993,11.9717,-1.1686,2882.0
-10.5425,-1.645,10.1902,24.1786,-2.3147,2898.0
-3.3624,-8.7044,-7.0031,2.3994,0.8988,111.0
7.3128,0.4664,-2.5855,-13.2744,-0.4736,1145.0
-2.6543,3.1669,-0.9815,0.6534,5.4241,505.0
6.623,-1.9138,-11.8772,-15.7628,1.0776,3068.0
-7.1741,-2.7199,-12.8882,12.366,1.7822,2580.0
-2.235,2.8302,-8.5917,6.6715,-0.7585,325.0
9.3088,6.591,-10.3062,-17.6223,1.5649,2178.0
2.6893,-4.1338,-1.3014,-3.4211,0.2,31.0
-1.7968,-5.0563,-10.1066,-9.5125,6.7038,1371.0
-1.6795,2.3594,8.8607,6.9471,-0.2626,2230.0
1.9299,6.8854,-1.4046,-4.4117,2.3552,1906.0
-10.584,-3.232,12.9859,23.6964,-1.364,1862.0
6.007,-3.2671,2.8837,-0.4783,-5.149,1103.0
