ln(VOTES/POP),POP,EDUCATION,HOUSES,INCOME,XCOORD,YCOORD
-0.532732,12.076323,11.463777,11.062081,14.385993,-86287560.0,41617600.0
-0.604078,10.635519,10.057367,9.702228,12.920947,-85860558.0,41243935.0
-0.412508,9.646076,9.216322,8.633553,11.983685,-121163151.0,45163261.0
-0.312141,9.501666,8.845057,8.562358,11.740523,-87440146.0,44589317.0
-0.671597,10.136502,9.322061,9.183072,12.157848,-94246370.0,35579452.0
-0.927447,9.478075,8.54403,8.326033,11.534775,-83827738.0,32563716.0
-0.489179,8.485496,7.961021,7.566311,10.86435,-104563095.0,43835646.0
-0.4394,8.565031,8.029107,7.601402,10.864465,-89794915.0,41088502.0
-0.591949,9.617404,8.985195,8.563504,11.845827,-122391742.0,39594777.0
-0.358875,9.87817,9.329811,8.910181,12.152445,-93768105.0,45440352.0
-0.890655,10.489857,9.493713,9.334768,12.487715,-85496221.0,36139518.0
-0.955275,10.653889,9.647692,9.509852,12.616867,-78864479.0,35370721.0
-0.414804,10.195672,9.650078,9.264355,12.343894,-86872975.0,45775351.0
-0.586063,12.685219,12.084182,11.459862,14.908089,-72634099.0,42135650.0
-0.681883,8.392537,7.409136,7.514255,10.325679,-87868156.0,35635531.0
-0.793289,9.987093,8.802823,8.913685,11.900043,-78938306.0,36766677.0
-0.736105,9.170351,8.218518,8.183956,11.278519,-95978548.0,30548859.0
-0.448786,7.510978,6.816736,6.645091,9.451638,-104415672.0,34335626.0
-0.796045,9.453522,8.524169,8.516393,11.728698,-96277412.0,29883407.0
-0.549483,8.580544,7.774015,7.696667,10.706945,-97248514.0,33953475.0
-0.719491,9.392662,8.43988,8.459352,11.358468,-82427883.0,36103068.0
-0.406533,8.714732,8.216628,7.807917,10.653747,-98071526.0,42177729.0
-0.194596,7.488294,6.964136,6.57647,9.459074,-105801536.0,47648986.0
-0.188184,7.643483,7.029088,6.72263,9.549808,-98622396.0,44062161.0
-0.717739,11.217036,10.517889,10.227923,13.253855,-76708228.0,40850183.0
-0.338047,9.517825,8.857657,8.564458,11.651356,-95253559.0,44403638.0
-0.770002,9.191565,8.16877,8.109526,11.258691,-103682964.0,31321483.0
-0.630996,13.013695,12.641863,11.808137,15.650402,-122356471.0,37436567.0
-0.536493,9.560504,8.657998,8.487352,11.573955,-89801107.0,33770931.0
-0.473214,10.144707,9.687009,9.158942,12.58677,-86468727.0,40051093.0
-0.258092,8.502689,7.901377,7.579679,10.391454,-97489808.0,44368957.0
-0.65791,9.933289,9.130972,9.021357,12.052274,-94345845.0,33071051.0
-0.93508,9.675897,8.126223,8.599694,11.194729,-98733280.0,26574537.0
-0.604779,9.179675,8.050384,8.268475,11.075505,-87786972.0,35235790.0
-0.945455,10.056638,9.060447,9.011767,12.195032,-83844381.0,33553175.0
-0.472213,12.231843,11.92844,11.231504,14.911214,-104331552.0,39644335.0
-0.83906,10.850909,10.278803,9.811646,13.06042,-75336173.0,41056916.0
-0.624478,9.315961,8.60135,8.357963,11.326921,-95217817.0,36759826.0
-0.524109,9.87699,9.164192,8.949625,11.95058,-87075782.0,38702369.0
-0.707143,9.885476,9.130648,8.797548,12.120885,-84146026.0,37970750.0
-0.673316,8.317278,7.32185,7.31854,10.38242,-76162635.0,36337433.0
-0.593385,10.157897,9.592469,9.142811,12.442874,-96645203.0,41576222.0
-0.599265,9.395907,8.362409,8.376551,11.381141,-81143056.0,32779195.0
-0.371184,9.390242,8.844913,8.390723,11.531698,-113610880.0,42271510.0
-0.525196,9.212638,8.203304,8.163371,11.172602,-91242787.0,32370651.0
-0.639224,9.117677,8.283999,8.148735,11.133143,-85123011.0,38456092.0
-0.687304,10.315697,9.579003,9.313438,12.42579,-86138157.0,32599910.0
-0.372461,11.222226,10.471525,10.087266,13.340576,-94610041.0,45554509.0
-0.569135,10.278734,9.623244,9.293394,12.693904,-80580986.0,40521032.0
-0.346591,9.825202,9.306922,8.956866,11.973882,-87872002.0,45997326.0
-0.552548,10.442697,9.819562,9.53539,12.678583,-85993318.0,41913995.0
-0.69556,11.146041,10.515994,10.071076,13.276477,-85632422.0,30236006.0
-0.387453,10.691695,10.190244,9.672249,12.989511,-112221908.0,42667571.0
-0.558981,10.873717,10.330257,9.868275,13.272239,-86096135.0,39489565.0
-0.650202,9.382022,8.845057,8.287528,11.739463,-115354139.0,41131015.0
-0.3798,9.501965,8.946114,8.556606,11.816469,-90741607.0,41204106.0
-0.720093,12.570483,12.029866,11.573061,14.840285,-79465439.0,40309275.0
-0.681342,8.696009,8.077447,7.627544,11.131401,-106358091.0,39189931.0
-0.768417,10.835553,10.153078,9.827092,13.067461,-108323153.0,36512598.0
-0.489424,11.4703,10.995444,10.427654,13.731883,-122736577.0,42420584.0
-0.866624,10.645115,9.695048,9.588503,12.683635,-79955347.0,34331851.0
-0.591137,10.583093,9.913339,9.634235,12.712517,-96944952.0,35201997.0
-0.596741,9.680156,9.062884,8.741616,11.895177,-95287808.0,38567251.0
-0.511818,8.761393,7.98956,7.928766,10.839797,-89002232.0,37064215.0
-0.42972,10.694895,10.275982,9.726273,13.023681,-121224278.0,43914533.0
-0.503364,10.571009,10.040986,9.526829,12.851032,-123307997.0,45226904.0
-0.582701,11.673666,11.145883,10.73757,13.882884,-82359737.0,27481355.0
-0.546529,11.045909,10.505341,10.023357,13.2952,-122526534.0,44491682.0
-0.613672,10.080126,9.348187,9.129889,12.114834,-94810733.0,36843759.0
-0.240739,8.203851,7.095893,7.336937,10.114397,-99439281.0,46118799.0
-0.811047,9.275472,8.181441,8.125039,11.11197,-75925725.0,37301001.0
-0.506486,10.709115,10.154985,9.74736,13.156289,-85898204.0,39205132.0
-0.743357,11.73734,10.944294,10.569983,13.878324,-97200593.0,31550629.0
-0.621394,10.888968,10.191819,9.471165,12.989595,-95286933.0,38884404.0
-0.515043,8.882808,8.295049,7.774015,10.96737,-103135769.0,42708785.0
-0.52304,9.513108,8.933796,8.533067,11.755213,-89923610.0,42060539.0
-0.656618,10.946728,10.301659,9.98838,13.074227,-94257842.0,36337987.0
-0.471034,8.487352,7.895808,7.520776,10.603561,-78204884.0,41441659.0
-0.988542,12.199159,11.485061,10.85387,14.366454,-80906595.0,34030983.0
-0.624152,10.414303,9.939241,9.375261,12.740708,-98502417.0,40865863.0
-0.654995,8.776476,7.913521,7.745436,10.860287,-101731838.0,34529503.0
-0.667199,7.929126,7.261927,6.834109,10.294414,-117026495.0,39945697.0
-0.59506,10.698627,10.018065,9.891971,12.710559,-82516378.0,28849240.0
-0.371519,8.82129,8.256088,7.866339,10.962752,-102422375.0,40000314.0
-0.760733,11.02151,10.287457,9.611998,13.187702,-79118108.0,36059176.0
-0.378467,8.103797,7.496652,7.237778,10.154324,-98947494.0,40183163.0
-0.583891,9.814328,8.727778,8.706159,11.649744,-80217656.0,33664767.0
-0.660546,8.879333,7.971086,7.984803,10.950245,-87261194.0,37528453.0
-0.963299,11.160612,10.427328,10.067008,13.399965,-101894774.0,35397205.0
-0.714688,10.497532,9.75121,9.580109,12.514685,-81740382.0,29605267.0
-0.551714,10.2726,9.646399,9.366061,12.344899,-94331550.0,36907240.0
-0.834272,11.37341,10.720974,10.143528,13.631683,-76291910.0,37055150.0
-0.564551,9.343647,8.588583,8.266935,11.305901,-103480021.0,34018530.0
-0.650801,10.349231,9.622251,9.271624,12.377333,-74309128.0,44600320.0
-0.156758,7.203406,6.706862,6.249975,9.150059,-100130900.0,44714831.0
-0.386605,10.222777,9.571017,9.261509,12.299558,-91852830.0,45418223.0
-0.39426,8.90463,8.267706,8.07496,11.019743,-85083913.0,44691940.0
-0.617811,9.288412,8.265136,8.422223,11.14002,-84319284.0,34864145.0
-0.281186,9.099521,8.473032,8.230844,11.034228,-92367816.0,45865601.0
-0.844695,9.055906,7.931285,7.967627,11.028936,-84909200.0,31330419.0
-0.694156,10.53715,9.952135,9.539932,12.742373,-81406762.0,29907781.0
-0.613949,10.952752,10.273291,9.919115,13.203945,-85654440.0,40515650.0
-0.588138,9.89968,8.779711,8.955964,11.868072,-84250833.0,35447590.0
-0.562912,9.101083,8.50593,8.197539,11.136004,-93567162.0,40112193.0
-0.495205,8.863899,7.765993,7.971086,10.764308,-81130166.0,36494291.0
-0.553379,11.5604,11.128307,10.478695,13.955139,-122647374.0,47640250.0
-0.700274,10.151519,9.207737,9.240676,12.1551,-86566214.0,33979740.0
-0.457383,10.411088,9.87899,9.380505,12.704442,-94178790.0,42434148.0
-1.083618,8.725182,7.736307,7.111512,10.612656,-79444621.0,37782292.0
-0.484643,9.587955,8.834337,8.580544,11.810568,-90358353.0,39088432.0
-0.809931,10.043597,9.232787,8.992557,12.220059,-75282886.0,38226323.0
-0.676604,10.444386,9.631744,9.463897,12.493688,-82978472.0,35552912.0
-0.411548,8.660601,8.129175,7.742402,10.791626,-98050624.0,40523721.0
-0.586917,10.461903,9.850614,9.514289,12.807458,-86447292.0,39481849.0
-0.91353,9.168059,8.107419,7.93666,11.202111,-83957134.0,33288338.0
-0.421044,8.473659,7.876638,7.499977,10.538741,-97663940.0,46458866.0
-0.624723,9.28619,8.089176,8.11582,11.056335,-90171689.0,33945937.0
-0.580572,11.188815,10.592526,10.206698,13.429545,-80755929.0,41890073.0
-0.393893,9.083189,8.606668,8.127109,11.32283,-94391450.0,42038345.0
-0.69833,9.359277,8.395026,8.429018,11.302649,-95051014.0,33618415.0
-0.898616,9.682779,8.6174,8.711608,11.709405,-82453021.0,34227273.0
-0.521995,10.69528,9.973713,9.695356,12.817988,-82536254.0,38594016.0
-0.595354,9.946499,9.01469,9.003685,11.903818,-89946349.0,36855619.0
-0.680954,8.757469,7.918265,7.602401,10.843436,-102256718.0,34534122.0
-0.521677,10.83575,10.351501,9.908923,13.158597,-80396904.0,27079690.0
-0.459487,9.122165,8.152774,8.155936,10.974403,-89715441.0,34031899.0
-0.53702,7.680637,6.682109,6.700731,9.971333,-100274555.0,34081223.0
-0.579657,8.86517,8.056744,7.812783,10.696503,-95241651.0,34870002.0
-0.289763,8.740817,7.998671,7.776535,10.597584,-88777119.0,45667573.0
-0.464146,10.599181,10.070103,9.613803,12.923547,-90534271.0,41897142.0
-0.520602,8.197539,7.543803,7.30317,10.093653,-93566178.0,40424352.0
-0.26493,8.926916,8.204945,8.016648,10.987866,-86801821.0,38710796.0
-0.524223,9.50301,8.734721,8.641709,11.579378,-98184677.0,30783602.0
-0.490568,10.317714,9.682654,9.20924,12.630474,-84878616.0,38235272.0
-0.496351,9.204825,8.683724,8.256088,11.420459,-95156377.0,41031473.0
-0.740648,10.622911,9.858386,9.601098,12.86452,-96793045.0,32350178.0
-0.691938,10.049404,9.247251,9.055323,12.141913,-91853009.0,34740315.0
-0.773395,10.033287,9.062304,9.026658,12.113222,-81599637.0,34288986.0
-0.342934,9.449357,8.736811,8.543835,11.52594,-93632525.0,45929539.0
-0.451312,10.127711,9.589256,9.168997,12.391602,-85493672.0,40828624.0
-0.532976,8.809116,8.1792,7.857868,10.915088,-97132889.0,41222404.0
-0.621611,8.995165,8.257904,8.134761,11.114029,-99371110.0,32291665.0
-0.417928,9.040382,7.89804,7.986165,10.785249,-88570177.0,33110929.0
-0.678684,10.072428,9.024493,9.027379,12.227956,-98090400.0,27733396.0
-0.518845,10.762975,10.320486,9.847076,13.223469,-86509229.0,39768519.0
-0.517952,9.413444,8.932477,8.352083,11.522024,-91948011.0,41033282.0
-0.37282,9.122711,8.489616,8.223091,11.338608,-86694563.0,41037371.0
-0.574779,10.137254,9.57039,9.219895,12.424115,-84584619.0,41564595.0
-1.045647,9.71057,8.653994,7.985484,11.921765,-78873976.0,38436724.0
-0.462055,9.642967,9.04888,8.759355,11.892334,-87759558.0,39002698.0
-0.348787,8.739056,8.175266,7.845416,10.807159,-93783863.0,41029073.0
-0.561416,12.328945,11.846744,10.965903,14.735407,-120025949.0,34536645.0
-0.687252,9.967026,9.169414,8.992806,11.997898,-82621663.0,39020616.0
-0.672583,10.417837,9.625756,9.325453,12.458674,-92335289.0,35147169.0
-0.539415,9.235423,8.076205,8.181441,10.973031,-87625424.0,32755765.0
-0.676276,9.545955,8.781248,8.651549,11.753186,-99688986.0,35264820.0
-0.446491,8.904359,8.018625,7.954723,10.820318,-89282406.0,33612986.0
-0.689685,10.451725,9.534306,9.296702,12.784224,-79408300.0,36583187.0
-0.691867,8.451908,7.520776,7.475339,10.342226,-81126687.0,37132211.0
-0.523673,9.948318,9.33759,9.023408,12.125145,-85005507.0,40149924.0
-0.990868,9.442563,8.381144,8.395703,11.470112,-82481896.0,33477725.0
-0.308258,8.263333,7.752335,7.271009,10.519133,-111688806.0,48651037.0
-0.756341,11.329784,10.622863,10.149449,13.547666,-77814495.0,39603867.0
-0.594885,12.739869,12.256062,11.675835,15.195205,-95941351.0,36120000.0
-0.796032,10.382203,9.570041,8.844625,12.531112,-78485745.0,38037450.0
-0.509249,8.571681,8.267449,7.571474,11.136689,-105635856.0,39687705.0
-0.431175,8.745762,8.102889,7.851661,10.787172,-97085905.0,39784202.0
-0.477467,9.970351,9.14024,9.064505,12.113848,-88540789.0,37753784.0
-0.654393,10.054361,8.852522,8.927314,11.963944,-83672646.0,36735535.0
-0.727975,10.906781,10.294008,9.791829,13.157549,-93602957.0,32680807.0
-0.474123,9.429958,8.492696,8.372399,11.640439,-91312986.0,30462652.0
-0.500173,10.676508,10.071414,9.615139,12.849029,-73630358.0,42251434.0
-0.495573,8.286269,7.835184,7.377759,10.600104,-100905893.0,38481884.0
-0.535042,12.09671,11.659836,10.919008,14.62164,-74026692.0,41149750.0
-0.549345,9.689799,9.263123,8.570544,12.063633,-107896925.0,39603247.0
-0.613314,12.05369,11.491293,11.047121,14.421772,-80755132.0,41315261.0
-0.400603,9.513551,8.781248,8.566174,11.723802,-88178300.0,38087449.0
-0.546654,11.442578,10.871744,10.466384,13.851788,-88961299.0,39860000.0
-0.555594,10.138876,9.447623,9.091219,12.2158,-71301722.0,44687083.0
-0.407672,10.393937,9.81055,9.089415,12.531285,-111173513.0,45558050.0
-0.597857,9.133675,8.516993,8.1277,11.230218,-104638170.0,36606105.0
-0.669845,10.059251,9.50547,8.931155,12.419538,-118904770.0,46536896.0
-0.415439,11.264349,10.750793,10.170342,13.578001,-96785900.0,43681463.0
-0.503185,9.688002,8.630879,8.718173,11.550751,-91672716.0,32138244.0
-0.832986,9.572202,8.77292,8.490028,11.475961,-82168177.0,29949503.0
-0.346849,9.972407,9.324651,9.155673,11.96242,-92339841.0,36286225.0
-0.637012,8.97866,8.202482,8.089482,10.999597,-96769483.0,34025326.0
-0.451039,10.56584,10.099548,9.57755,12.84911,-85552462.0,44733305.0
-0.665008,11.205231,10.430816,10.211891,13.352146,-86038250.0,34047533.0
-0.399176,9.729253,9.239414,8.711773,11.941306,-118011272.0,45315046.0
-0.634482,9.103534,7.974189,8.208492,10.795445,-90866399.0,36659253.0
-0.458094,9.095378,8.536996,8.078068,11.262693,-113083591.0,46065829.0
-0.315439,8.277158,7.630947,7.380256,10.285377,-92148723.0,40453783.0
-0.715193,10.052166,9.359191,8.898639,12.247785,-83401323.0,39896820.0
-0.347834,8.350194,7.551187,7.377759,10.390533,-99978658.0,48249461.0
-0.584909,9.895909,9.146228,8.909911,12.077136,-93340564.0,30653350.0
-0.847154,10.637417,9.768298,9.601504,12.666954,-78876339.0,38515309.0
-0.770825,9.310367,8.239065,8.101375,11.292254,-77684095.0,35486406.0
-0.869547,10.92154,10.52774,9.738141,13.303606,-96110088.0,41114000.0
-0.776836,10.252382,9.399306,9.255983,12.252784,-76844806.0,35482730.0
-0.373614,8.527539,7.990577,7.611348,10.637753,-99898888.0,39783841.0
