year,month,day,RPT,VAL,ROS,KIL,SHA,BIR,DUB,CLA,MUL,CLO,BEL,MAL
66.0,1.0,22.0,12.42,6.21,14.58,4.5,8.0,5.75,8.54,8.33,5.5,7.75,9.0,14.83
76.0,1.0,8.0,15.59,16.96,15.41,7.87,11.08,9.5,14.37,5.5,11.34,5.25,4.21,11.42
78.0,5.0,19.0,4.25,1.63,5.88,1.75,3.58,2.5,3.04,5.25,5.54,4.21,5.91,6.21
65.0,8.0,19.0,8.87,8.25,7.54,4.08,11.04,7.67,10.96,9.04,7.62,9.29,16.17,17.12
74.0,1.0,13.0,18.91,16.42,15.16,8.21,14.42,9.71,13.92,9.96,12.08,13.33,16.42,23.21
72.0,4.0,19.0,7.04,3.17,13.29,3.29,4.71,3.67,6.34,2.62,4.54,2.21,7.54,7.58
62.0,4.0,8.0,32.58,23.21,17.88,16.92,24.54,14.17,18.25,15.71,15.41,13.04,22.46,14.67
61.0,9.0,2.0,7.25,3.58,2.42,3.5,6.96,3.13,3.83,6.58,3.92,5.96,7.12,6.96
75.0,6.0,19.0,15.37,12.96,16.13,9.21,12.71,8.96,11.71,14.09,12.21,11.0,20.33,19.38
65.0,6.0,26.0,13.79,11.96,11.71,9.62,16.71,11.0,17.0,13.42,12.96,14.21,16.29,23.63
67.0,11.0,8.0,6.58,5.21,9.0,3.67,4.67,1.71,4.46,5.46,3.33,3.46,11.75,12.62
70.0,5.0,26.0,6.92,6.92,6.63,5.25,10.54,7.71,13.37,8.12,11.17,6.96,14.17,19.58
74.0,2.0,6.0,24.08,21.75,13.13,9.59,14.96,8.0,12.21,8.87,10.34,9.33,16.96,19.79
69.0,12.0,29.0,18.66,15.96,19.38,6.38,13.54,10.08,14.29,11.46,10.58,9.59,13.75,25.04
64.0,5.0,11.0,18.91,16.92,20.46,10.34,14.0,12.33,15.04,15.34,10.21,16.13,20.62,12.58
71.0,7.0,6.0,4.88,2.25,6.38,1.63,2.96,0.71,3.63,1.79,2.42,0.96,6.87,4.88
77.0,2.0,18.0,11.46,9.67,10.17,5.37,8.75,8.04,15.09,8.21,11.29,12.12,14.21,17.33
74.0,7.0,18.0,5.83,4.54,7.29,1.42,5.04,3.04,7.5,4.38,3.83,3.92,10.37,14.58
75.0,6.0,27.0,10.54,9.54,14.79,4.29,7.21,3.67,6.87,9.0,8.83,3.92,13.33,10.96
