@relation EGSSD

@attribute tau1 numeric
@attribute tau2 numeric
@attribute tau3 numeric
@attribute tau4 numeric
@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute g1 numeric
@attribute g2 numeric
@attribute g3 numeric
@attribute g4 numeric
@attribute stab numeric

@data
2.95906,3.079885,8.381025,9.780754,3.763085,-0.782604,-1.257395,-1.723086,0.650456,0.859578,0.887445,0.958034,0.055347
9.304097,4.902524,3.047541,1.369357,5.067812,-1.940058,-1.872742,-1.255012,0.413441,0.862414,0.562139,0.78176,-0.005957
8.971707,8.848428,3.046479,1.214518,3.405158,-1.207456,-1.27721,-0.920492,0.163041,0.766689,0.839444,0.109853,0.003471
0.716415,7.6696,4.486641,2.340563,3.963791,-1.027473,-1.938944,-0.997374,0.446209,0.976744,0.929381,0.362718,0.028871
3.134112,7.608772,4.943759,9.857573,3.525811,-1.125531,-1.845975,-0.554305,0.79711,0.45545,0.656947,0.820923,0.04986
6.999209,9.109247,3.784066,4.267788,4.429669,-1.857139,-0.670397,-1.902133,0.261793,0.07793,0.542884,0.469931,-0.017385
6.710166,3.765204,6.929314,8.818562,2.397419,-0.61459,-1.208826,-0.574004,0.17789,0.397977,0.402046,0.37663,0.005954
6.953512,1.379125,5.7194,7.870307,3.224495,-0.748998,-1.186517,-1.28898,0.371385,0.633204,0.732741,0.380544,0.016634
4.689852,4.007747,1.478573,3.733787,4.0413,-1.410344,-1.238204,-1.392751,0.269708,0.250364,0.164941,0.482439,-0.038677
9.841496,1.413822,9.769856,7.641616,4.727595,-1.991363,-0.857637,-1.878594,0.376356,0.544415,0.792039,0.116263,0.012383
5.93011,6.730873,6.245138,0.533288,2.327092,-0.702501,-1.11692,-0.507671,0.239816,0.56311,0.164461,0.753701,-0.028411
5.381299,8.014521,8.095174,6.769248,5.507551,-1.972714,-1.849333,-1.685505,0.359974,0.173569,0.349144,0.62886,0.02813
1.616787,2.939228,0.819791,4.191804,3.752282,-1.484885,-1.280581,-0.986816,0.899698,0.866546,0.303921,0.07761,-0.048617
8.551598,8.314952,2.549964,9.926807,4.891714,-1.808626,-1.167061,-1.916026,0.612404,0.280983,0.354342,0.472192,0.027756
1.132108,2.920324,8.951079,7.248583,5.033681,-1.84608,-1.362777,-1.824824,0.352292,0.524173,0.599004,0.67439,0.01488
7.021362,4.374294,4.775904,8.838426,3.335857,-0.962392,-1.407627,-0.965839,0.7111,0.625364,0.468335,0.895143,0.072508
4.952241,8.088672,8.883319,5.694557,5.067296,-1.681414,-1.877061,-1.50882,0.305662,0.307904,0.889894,0.879428,0.065617
4.14283,2.439089,1.290456,9.456443,3.934796,-1.469299,-1.766941,-0.698556,0.800757,0.840807,0.917833,0.793982,-0.006966
9.346126,7.92003,2.335276,3.269181,4.581174,-1.106753,-1.747078,-1.727344,0.836076,0.713254,0.161518,0.515983,0.041374
3.931954,9.18089,6.06448,6.292147,5.363996,-1.695085,-1.880273,-1.788638,0.837264,0.611781,0.210692,0.697465,0.052781
8.676895,5.583325,4.925402,7.356212,2.828247,-1.396732,-0.92929,-0.502226,0.595003,0.983651,0.245571,0.454155,0.062491
7.383177,5.253173,0.924517,0.744899,3.976105,-1.429219,-1.424951,-1.121935,0.425514,0.561166,0.139627,0.076751,-0.026878
4.541829,1.969862,8.513193,7.562036,4.362835,-1.626414,-1.761731,-0.97469,0.409785,0.121397,0.165888,0.457982,-0.016227
5.973186,6.043118,5.996045,1.07694,3.828218,-0.989549,-1.079026,-1.759643,0.350475,0.128154,0.548861,0.503974,-0.023013
7.253346,7.733517,1.621091,7.89061,3.56724,-1.377855,-1.449532,-0.739853,0.936087,0.927722,0.824222,0.100472,0.047861
6.192481,2.533877,1.66238,5.163924,3.462392,-1.355954,-1.432846,-0.673593,0.168277,0.408495,0.328541,0.253586,-0.03612
5.895693,1.096302,1.311732,8.777868,4.06917,-1.063139,-1.374427,-1.631604,0.867791,0.141839,0.343262,0.711899,0.020088
0.727077,6.425554,6.269094,0.786911,2.913179,-1.187866,-0.687735,-1.037578,0.471442,0.061329,0.221905,0.647617,-0.046374
1.807819,7.020356,6.676929,5.169648,3.672288,-1.188471,-0.819164,-1.664653,0.127658,0.160127,0.171724,0.838404,-0.008638
9.034147,1.071635,5.478342,9.412525,3.405139,-1.163253,-1.653954,-0.587932,0.253609,0.77867,0.287026,0.221631,-0.033245
4.477896,2.159582,3.576897,1.795846,2.951772,-1.540369,-0.882205,-0.529198,0.702599,0.397861,0.785096,0.64363,0.033177
3.432549,0.944068,3.324771,7.735356,4.134624,-1.495949,-1.39869,-1.239985,0.408974,0.392226,0.330909,0.655999,-0.022913
4.780713,8.453343,2.755188,4.249789,4.112105,-1.154158,-1.158403,-1.799544,0.063362,0.987507,0.791912,0.292634,0.021234
9.93605,4.406542,6.825483,4.855137,4.149534,-0.962997,-1.491645,-1.694892,0.955618,0.787557,0.667852,0.637186,0.076108
3.699096,7.88069,8.291244,2.371238,3.37418,-0.590452,-1.579171,-1.204557,0.275613,0.082106,0.662143,0.061665,-0.014002
9.853462,7.181023,1.689084,1.705492,2.388584,-0.676758,-0.510618,-1.201208,0.953621,0.657752,0.788264,0.08266,0.021385
7.212968,3.81572,8.866208,6.517757,2.7964,-1.652465,-0.547151,-0.596784,0.417993,0.058523,0.578286,0.314434,0.022006
9.65992,5.012119,0.791175,7.437237,3.88658,-1.682252,-1.069914,-1.134413,0.354385,0.778999,0.315034,0.638421,0.024733
2.482203,2.984403,4.933785,1.891813,2.621804,-0.910373,-0.847904,-0.863527,0.316414,0.598836,0.263953,0.888316,-0.019348
1.492189,9.797093,2.552811,7.194696,3.848993,-1.851494,-1.414036,-0.583463,0.799482,0.654333,0.321638,0.26879,-0.027009
8.234219,8.835256,1.599345,7.620401,3.98096,-1.654656,-0.600066,-1.726239,0.81215,0.143851,0.980109,0.654095,0.0254
4.861903,6.145345,8.811622,9.242129,3.005182,-1.589594,-0.814255,-0.601333,0.223498,0.148034,0.687916,0.903222,0.052878
4.044071,8.737968,0.896589,8.462015,3.543055,-1.652274,-0.583774,-1.307006,0.777572,0.45266,0.537568,0.755848,0.021924
4.130593,6.002096,1.655174,1.548773,2.82288,-1.147755,-1.015366,-0.65976,0.783161,0.705586,0.364066,0.617826,0.01662
3.866527,2.685848,8.28929,4.766986,3.961429,-0.763483,-1.965185,-1.232761,0.781653,0.832337,0.862933,0.238282,0.040705
9.234697,5.407559,3.761599,5.172468,2.728168,-0.550408,-1.553881,-0.62388,0.625207,0.089422,0.072008,0.172636,-0.01197
8.394045,5.748692,1.972528,5.568567,3.369096,-0.664045,-1.349319,-1.355732,0.782084,0.367549,0.218639,0.133182,0.0125
4.352223,4.959515,7.129657,3.80155,4.277313,-1.551419,-1.216905,-1.508989,0.799212,0.626341,0.760879,0.50488,0.074754
7.660796,1.300317,7.646442,6.778355,3.661303,-1.31537,-1.826011,-0.519922,0.548837,0.179855,0.528382,0.722353,0.045727
9.818128,0.511597,8.588987,5.260072,3.395636,-1.107857,-1.478677,-0.809102,0.931287,0.599963,0.291643,0.384295,0.011189
0.504014,1.142094,6.651427,4.527227,4.328156,-1.748323,-1.823558,-0.756275,0.129388,0.225295,0.312797,0.658454,-0.01881
6.587743,8.552775,6.716961,7.917409,3.888697,-1.416244,-0.752604,-1.719849,0.543917,0.584776,0.970893,0.727172,0.089073
9.285754,1.052255,3.344555,8.791041,3.424644,-0.989738,-0.693916,-1.74099,0.890949,0.179389,0.704158,0.706239,0.041685
5.150208,6.970377,9.904062,1.084828,4.274914,-1.562089,-1.07972,-1.633106,0.690585,0.682393,0.808118,0.481229,0.041689
6.745214,3.127123,3.927165,7.757989,3.408459,-0.846231,-0.688377,-1.873851,0.757867,0.832286,0.379494,0.242669,0.035486
4.729798,8.434741,2.207281,9.001136,4.208865,-1.894616,-0.984437,-1.329811,0.529685,0.396812,0.580841,0.979086,0.041355
9.970413,5.968582,2.342623,3.083516,3.772108,-1.546063,-0.96477,-1.261275,0.427142,0.972375,0.387368,0.903836,0.034426
2.91805,1.492789,8.634376,3.289806,3.928822,-1.580769,-0.735709,-1.612345,0.315826,0.817872,0.762099,0.278033,-0.02876
4.98525,5.316307,2.62323,6.907926,3.540059,-0.54227,-1.849743,-1.148045,0.955232,0.161374,0.318092,0.953997,0.060267
7.476371,5.711407,7.382553,9.377522,2.844125,-1.059233,-0.69368,-1.091213,0.171156,0.511484,0.835335,0.519007,0.055867
3.98985,9.545989,1.219137,7.354458,3.965101,-0.587259,-1.545705,-1.832137,0.442928,0.612155,0.304397,0.199837,-0.009185
4.557617,4.311327,5.613844,9.259617,3.85207,-1.063267,-0.950833,-1.83797,0.975159,0.957579,0.386146,0.515685,0.072157
4.614537,1.451486,1.442638,5.041855,4.482075,-1.69426,-1.311658,-1.476157,0.629163,0.19815,0.148454,0.386784,-0.021029
5.341406,7.438791,7.636587,3.312985,4.366831,-1.876138,-1.114846,-1.375846,0.378846,0.896404,0.47803,0.734625,0.059655
9.645392,7.903235,8.773078,5.983644,3.872875,-1.779564,-1.299563,-0.793748,0.944564,0.658796,0.109069,0.479168,0.06237
